"Id","salePrice"
1461,109697.811540266
1462,164106.247521366
1463,183917.439728761
1464,197703.13093705
1465,219424.518545542
1466,171905.306800448
1467,174158.600585556
1468,160080.271208642
1469,208651.12296539
1470,110541.60423021
1471,175658.487998462
1472,103494.161280992
1473,104111.339129811
1474,170269.710091447
1475,120813.166623633
1476,371021.359944891
1477,242136.494805587
1478,303525.906125339
1479,310257.643430715
1480,480581.382162419
1481,315095.003947519
1482,220687.324879062
1483,174591.937818029
1484,164815.324735655
1485,166858.681203331
1486,192638.037073249
1487,351181.941726149
1488,233399.903891622
1489,190156.934763176
1490,252055.91889994
1491,194215.898524395
1492,80578.0571277444
1493,209362.538702877
1494,295117.014549724
1495,295289.772716049
1496,259718.822779141
1497,201036.571473676
1498,172835.986349329
1499,167912.183765809
1500,164922.421872721
1501,192437.275767415
1502,157145.866522387
1503,273635.137113119
1504,231125.395554796
1505,219760.794244408
1506,198507.930131632
1507,248534.119949249
1508,205563.223280961
1509,156282.77282475
1510,142179.765183114
1511,140463.879903958
1512,187280.103603559
1513,153354.128795797
1514,164790.661768735
1515,213278.722942027
1516,155154.103481651
1517,190123.026606794
1518,124731.871638559
1519,204988.114008875
1520,127621.270279776
1521,135177.288588474
1522,181272.982612505
1523,108004.481956054
1524,126820.948507516
1525,116006.589658584
1526,118083.769073564
1527,96307.8417592641
1528,133324.87315618
1529,138168.757584329
1530,196270.559444318
1531,109230.456387512
1532,97460.5463818315
1533,161371.385011088
1534,121278.576155299
1535,157748.389871494
1536,101162.354056781
1537,64763.0901106137
1538,165085.657544606
1539,218062.729244295
1540,121628.286162805
1541,153120.372360767
1542,143448.29766361
1543,202519.09859193
1544,67491.820105018
1545,119093.049199723
1546,127101.183615935
1547,119339.104932108
1548,140631.975859101
1549,113047.023577864
1550,131261.934789823
1551,129439.015630729
1552,140714.737765619
1553,151921.477655657
1554,117852.976992327
1555,175087.064268434
1556,0
1557,160288.035525886
1558,118479.832863283
1559,87868.3671957805
1560,124620.793088137
1561,155540.26250033
1562,133993.314730383
1563,117377.243262984
1564,184631.715729476
1565,153048.34878309
1566,255377.656277874
1567,80604.9401010067
1568,229817.938942926
1569,134063.313292144
1570,129572.093021638
1571,102894.776024948
1572,148044.791883758
1573,245990.797017952
1574,129819.953553713
1575,238238.305963723
1576,244054.363507124
1577,177606.716670265
1578,166415.998562016
1579,153532.760756131
1580,192950.609090548
1581,149067.764035323
1582,130639.570479786
1583,282799.283189801
1584,220201.174915212
1585,133986.215082527
1586,41925.6713228401
1587,108470.963659257
1588,168633.5472937
1589,107266.179979307
1590,142466.790263707
1591,87099.1367227734
1592,131417.938549656
1593,124850.06290908
1594,133434.422265431
1595,114563.838304344
1596,222485.28875829
1597,179055.140207335
1598,189984.839083009
1599,189778.373647382
1600,165589.160062002
1601,38625.7388816771
1602,120505.101357608
1603,53823.4802102944
1604,263852.987040728
1605,218485.675179057
1606,168719.281125356
1607,183487.448053673
1608,192890.099343101
1609,174138.248035655
1610,141998.171836675
1611,134473.735974228
1612,185287.547046426
1613,153591.215729017
1614,141593.703972985
1615,103523.289019797
1616,80194.2423273977
1617,98702.1894919397
1618,110999.491695077
1619,124767.595877848
1620,157774.867221831
1621,129178.226881176
1622,132097.365924533
1623,250297.185454495
1624,203348.020141729
1625,137862.843146035
1626,176503.56853109
1627,188367.625955563
1628,278260.810211986
1629,170756.421404119
1630,385172.463135447
1631,235849.658777666
1632,260225.927509218
1633,157692.180038381
1634,183786.152850427
1635,171649.363820315
1636,152746.864237578
1637,209752.584866334
1638,189121.300895361
1639,186439.084536678
1640,252783.930572757
1641,181790.962906238
1642,256886.010194493
1643,218639.106441929
1644,226291.742034193
1645,218403.754331497
1646,154643.997066171
1647,155907.464574962
1648,128567.710167502
1649,129763.093032111
1650,112368.084286868
1651,113900.152779325
1652,105721.593525456
1653,110972.923203783
1654,158781.558633853
1655,147994.945866612
1656,155950.206949108
1657,159790.169919208
1658,156390.513723936
1659,134612.936995032
1660,151204.595490021
1661,423443.39260625
1662,379137.147451462
1663,391341.774957156
1664,478475.503866458
1665,340620.75338981
1666,338783.268398275
1667,374106.271663609
1668,363051.086392678
1669,313543.487638074
1670,364659.576467736
1671,264823.913708546
1672,410630.533737055
1673,277485.741167411
1674,248422.045186979
1675,216716.024729785
1676,218370.154886256
1677,222641.005405618
1678,475631.230852349
1679,387928.936435314
1680,358773.794136874
1681,308714.765528298
1682,316281.713584363
1683,206737.424699646
1684,165270.404576081
1685,172025.842304524
1686,172910.726871197
1687,163858.757842975
1688,188358.360855617
1689,190055.70011237
1690,184887.497302972
1691,170982.027213764
1692,256223.886868691
1693,155821.605615301
1694,174159.425491919
1695,155660.062480189
1696,257180.074935946
1697,167357.353686326
1698,340916.46129468
1699,316279.543167726
1700,267405.140301739
1701,285917.769082728
1702,232527.705874875
1703,218835.518184589
1704,259420.368165789
1705,232818.298674617
1706,205342.191972776
1707,222017.012087347
1708,199934.733905946
1709,249467.100566521
1710,219198.9667248
1711,264095.237242937
1712,245819.194905982
1713,274964.091952005
1714,221877.594478907
1715,206266.875296895
1716,179416.308235144
1717,161904.333601648
1718,146607.596302877
1719,217462.137765236
1720,225255.900060252
1721,156629.723230961
1722,130879.520452224
1723,151441.950898077
1724,201584.396940753
1725,236050.582996536
1726,192308.062575944
1727,167908.767491101
1728,167368.434238849
1729,176712.943652008
1730,184802.281938073
1731,118696.424419739
1732,123742.733957739
1733,122226.108709806
1734,124162.427898028
1735,130902.907508487
1736,105611.2700074
1737,314456.719010835
1738,260792.85798543
1739,282835.555055292
1740,222713.937602499
1741,201095.155018395
1742,187022.724671264
1743,186710.973462265
1744,343388.997908589
1745,218432.738718884
1746,219593.525291278
1747,223181.400741894
1748,226311.349915414
1749,140493.298493806
1750,140514.965520132
1751,235389.658999787
1752,112053.741865061
1753,156667.780788658
1754,213147.40322041
1755,169288.477446274
1756,119133.366319946
1757,109962.868851259
1758,147568.362574994
1759,162734.482198082
1760,162854.525917137
1761,162222.535183407
1762,188965.816637845
1763,192402.435231035
1764,103393.518822969
1765,197138.869605947
1766,195193.352904287
1767,237051.686549484
1768,142412.918824297
1769,174921.067088768
1770,143519.035147883
1771,124138.042321613
1772,138895.177932936
1773,121586.983025486
1774,150473.135619465
1775,140983.36544879
1776,120142.997471429
1777,100731.178065756
1778,139781.43598245
1779,125017.444464697
1780,167379.578189114
1781,126238.847464383
1782,82365.1131203245
1783,146965.307683514
1784,117035.985977027
1785,149417.322480851
1786,113273.846273997
1787,169456.90012931
1788,83942.482457612
1789,110801.744366552
1790,53632.6065425762
1791,196343.501739526
1792,174189.655518327
1793,145526.92669942
1794,160449.291157324
1795,134956.533754638
1796,109591.469043922
1797,140937.645406065
1798,110169.095593195
1799,100118.242850617
1800,106496.719469767
1801,121079.220577708
1802,120903.864199551
1803,160588.58715262
1804,146893.456111738
1805,135397.786120711
1806,132830.655905822
1807,135964.75805641
1808,115729.706122196
1809,121631.508685989
1810,142904.165801231
1811,130418.581410347
1812,123927.703111372
